"","City","Date","Count"
"515","ARAUCA",2020-11-16,9
"516","ARAUCA",2020-06-16,4
"517","ARAUCA",2020-07-16,8
"518","ARAUCA",2020-08-16,19
"519","ARAUCA",2020-09-16,21
"520","ARAUCA",2020-10-17,39
"521","ARAUCA",2020-11-17,17
"522","ARAUCA",2020-05-17,1
"523","ARAUCA",2020-06-17,3
"524","ARAUCA",2020-07-17,5
"525","ARAUCA",2020-08-17,26
"526","ARAUCA",2020-09-17,41
"527","ARAUCA",2020-10-18,24
"528","ARAUCA",2020-11-18,12
"529","ARAUCA",2020-06-18,2
"530","ARAUCA",2020-07-18,18
"531","ARAUCA",2020-08-18,33
"532","ARAUCA",2020-09-18,54
"533","ARAUCA",2020-10-19,65
"534","ARAUCA",2020-11-19,3
"535","ARAUCA",2020-06-19,1
"536","ARAUCA",2020-07-19,6
"537","ARAUCA",2020-08-19,24
"538","ARAUCA",2020-09-19,35
"539","ARAUCA",2020-10-02,60
"540","ARAUCA",2020-11-02,8
"541","ARAUCA",2020-06-02,1
"542","ARAUCA",2020-08-02,23
"543","ARAUCA",2020-09-02,25
"544","ARAUCA",2020-10-20,44
"545","ARAUCA",2020-11-20,10
"546","ARAUCA",2020-06-20,2
"547","ARAUCA",2020-07-20,8
"548","ARAUCA",2020-08-20,30
"549","ARAUCA",2020-09-20,24
"550","ARAUCA",2020-10-21,44
"551","ARAUCA",2020-11-21,5
"552","ARAUCA",2020-07-21,61
"553","ARAUCA",2020-08-21,32
"554","ARAUCA",2020-09-21,31
"555","ARAUCA",2020-10-22,31
"556","ARAUCA",2020-11-22,4
"557","ARAUCA",2020-06-22,2
"558","ARAUCA",2020-07-22,8
"559","ARAUCA",2020-08-22,12
"560","ARAUCA",2020-09-22,47
"561","ARAUCA",2020-10-23,29
"562","ARAUCA",2020-11-23,11
"563","ARAUCA",2020-06-23,17
"564","ARAUCA",2020-07-23,19
"565","ARAUCA",2020-08-23,14
"566","ARAUCA",2020-09-23,50
"567","ARAUCA",2020-10-24,34
"568","ARAUCA",2020-11-24,3
"569","ARAUCA",2020-04-24,1
"570","ARAUCA",2020-06-24,10
"571","ARAUCA",2020-07-24,19
"572","ARAUCA",2020-08-24,32
"573","ARAUCA",2020-09-24,55
"574","ARAUCA",2020-10-25,10
"575","ARAUCA",2020-11-25,6
"576","ARAUCA",2020-05-25,1
"577","ARAUCA",2020-06-25,6
"578","ARAUCA",2020-07-25,16
"579","ARAUCA",2020-08-25,15
"580","ARAUCA",2020-09-25,60
"581","ARAUCA",2020-10-26,36
"582","ARAUCA",2020-11-26,1
"583","ARAUCA",2020-06-26,3
"584","ARAUCA",2020-07-26,9
"585","ARAUCA",2020-08-26,57
"586","ARAUCA",2020-09-26,43
"587","ARAUCA",2020-10-27,59
"588","ARAUCA",2020-11-27,1
"589","ARAUCA",2020-07-27,19
"590","ARAUCA",2020-08-27,24
"591","ARAUCA",2020-09-27,32
"592","ARAUCA",2020-10-28,46
"593","ARAUCA",2020-05-28,1
"594","ARAUCA",2020-06-28,1
"595","ARAUCA",2020-07-28,18
"596","ARAUCA",2020-08-28,39
"597","ARAUCA",2020-09-28,82
"598","ARAUCA",2020-10-29,42
"599","ARAUCA",2020-06-29,10
"600","ARAUCA",2020-07-29,23
"601","ARAUCA",2020-08-29,17
"602","ARAUCA",2020-09-29,65
"603","ARAUCA",2020-10-03,39
"604","ARAUCA",2020-11-03,48
"605","ARAUCA",2020-07-03,10
"606","ARAUCA",2020-08-03,23
"607","ARAUCA",2020-09-03,31
"608","ARAUCA",2020-10-30,19
"609","ARAUCA",2020-05-30,1
"610","ARAUCA",2020-06-30,1
"611","ARAUCA",2020-07-30,15
"612","ARAUCA",2020-08-30,18
"613","ARAUCA",2020-09-30,64
"614","ARAUCA",2020-10-31,30
"615","ARAUCA",2020-07-31,49
"616","ARAUCA",2020-08-31,27
"617","ARAUCA",2020-10-04,39
"618","ARAUCA",2020-11-04,15
"619","ARAUCA",2020-06-04,1
"620","ARAUCA",2020-07-04,2
"621","ARAUCA",2020-08-04,29
"622","ARAUCA",2020-09-04,16
"623","ARAUCA",2020-10-05,44
"624","ARAUCA",2020-11-05,25
"625","ARAUCA",2020-07-05,3
"626","ARAUCA",2020-08-05,35
"627","ARAUCA",2020-09-05,38
"628","ARAUCA",2020-10-06,46
"629","ARAUCA",2020-11-06,16
"630","ARAUCA",2020-07-06,6
"631","ARAUCA",2020-08-06,15
"632","ARAUCA",2020-09-06,16
"633","ARAUCA",2020-10-07,74
"634","ARAUCA",2020-11-07,27
"635","ARAUCA",2020-06-07,1
"636","ARAUCA",2020-07-07,3
"637","ARAUCA",2020-08-07,7
"638","ARAUCA",2020-09-07,31
"639","ARAUCA",2020-10-08,60
"640","ARAUCA",2020-11-08,14
"641","ARAUCA",2020-06-08,4
"642","ARAUCA",2020-07-08,9
"643","ARAUCA",2020-08-08,27
"644","ARAUCA",2020-09-08,40
"645","ARAUCA",2020-10-09,49
"646","ARAUCA",2020-11-09,38
"647","ARAUCA",2020-07-09,4
"648","ARAUCA",2020-08-09,7
"649","ARAUCA",2020-09-09,28
"650","ATLANTICO",2020-10-01,33
"651","ATLANTICO",2020-11-01,57
"652","ATLANTICO",2020-04-01,2
"653","ATLANTICO",2020-05-01,89
"654","ATLANTICO",2020-06-01,262
"655","ATLANTICO",2020-07-01,561
"656","ATLANTICO",2020-08-01,180
"657","ATLANTICO",2020-09-01,68
"658","ATLANTICO",2020-10-10,57
"659","ATLANTICO",2020-11-10,76
"660","ATLANTICO",2020-04-10,3
"661","ATLANTICO",2020-05-10,80
"662","ATLANTICO",2020-06-10,480
"663","ATLANTICO",2020-07-10,356
"664","ATLANTICO",2020-08-10,115
"665","ATLANTICO",2020-09-10,51
"666","ATLANTICO",2020-10-11,27
"667","ATLANTICO",2020-11-11,54
"668","ATLANTICO",2020-05-11,73
"669","ATLANTICO",2020-06-11,368
"670","ATLANTICO",2020-07-11,232
"671","ATLANTICO",2020-08-11,109
"672","ATLANTICO",2020-09-11,81
